Timestamp,Enter your age,Enter your educational qualification:,Enter your gender,Enter your region,Enter the state you live in (in India):,Enter your mother tongue,Enter the languages you know,Enter your religion,Enter your occupation,Enter your annual income,"Based on the above ad, how much do you feel the use of language in the ad is similar to your use of language (accent, vocabulary etc.)","Based on the above ad, how much do you feel the use of language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you feel the use of language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you feel the use of language in the ad is similar to that of yours (accent, vocabulary etc.)","Based on the above ad, how much do you feel the use of language in the ad is similar to that of yours (accent, vocabulary etc.)","Based on the above ad, how much do you think the language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you think the language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you think the language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you think the language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you think the language in the ad is similar to that of yours? (accent, vocabulary etc.)"
11/20/2020 19:02:30,18,Higher Secondary,Male,City (Urban),Uttar Pradesh,Hindi,"Hindi, English",Hindu,Student,Less than 5 Lakhs,Similar,Not similar,Highly similar,Highly similar,Not Similar,,,,,
11/21/2020 17:52:16,19,Higher Secondary,Male,City (Urban),West Bengal,Hindi,"English, Hindi",Agnostic,Student,Prefer not to say,Highly similar,Highly similar,Highly similar,Similar,Similar,,,,,
11/21/2020 17:55:30,19,Higher Secondary,Male,Town (Sub-urban),Kerala,Malayalam,"Malayalam, english",Hindu,,Prefer not to say,Similar,Highly similar,,,,,,Similar,Highly similar,Not similar
11/21/2020 17:57:31,19,Higher Secondary,Male,City (Urban),Rajashtan,hindi,marwari and english,hinduism,,Prefer not to say,Similar,Highly similar,Highly similar,Highly similar,Highly similar,,,,,Similar
11/21/2020 17:57:36,19,Higher Secondary,Male,City (Urban),Telengana,Hindi,Hindi english,,,Prefer not to say,Similar,Not similar,Similar,Not similar,,,,,,
11/21/2020 17:57:49,19,Higher Secondary,Male,Town (Sub-urban),Harayana,Hindi,"Hindi, Haryanvi, Punjabi, English",,,Prefer not to say,Not similar,Similar,Highly similar,Similar,Similar,,,,,
11/21/2020 17:58:23,19,Graduate,Male,City (Urban),Kerala,malayalam,hindi english,,,Prefer not to say,Similar,Not similar,Similar,Not similar,Not Similar,,,Similar,Highly similar,Highly similar
11/21/2020 17:59:08,19,Higher Secondary,Male,Town (Sub-urban),Rajashtan,Hindi,"Hindi , marwari , sanskrit , hariyanvi , english , punjabi",Hindu,,Prefer not to say,Highly similar,Similar,Highly similar,Highly similar,Highly similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/21/2020 18:00:39,19,Higher Secondary,Male,City (Urban),Madhya Pradesh,Hindi,"English, Hindi",Jain,Student,5 Lakhs - 10 Lakhs,Not similar,Not similar,Highly similar,Not similar,,,,,,
11/21/2020 18:01:42,19,Graduate,Male,City (Urban),,Tamil,English Hindi Tamil ,,,Prefer not to say,Not similar,Highly similar,Not similar,Not similar,Not Similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/21/2020 18:01:44,18,Till Secondary(or below),Male,City (Urban),Telengana,Telugu,telugu and english,,,Less than 5 Lakhs,Similar,Similar,Similar,Similar,Similar,Similar,Similar,,,
11/21/2020 18:04:56,20,Till Secondary(or below),Male,City (Urban),Telengana,Telugu,"Telugu, English",Hinduism,,Less than 5 Lakhs,Highly similar,Highly similar,Similar,Highly similar,Not Similar,Highly similar,Not Similar,,,
11/21/2020 18:05:23,18,Graduate,Male,Village (Rural),Kerala,Malayalam,"Malayalam, Hindi, English",,,Less than 5 Lakhs,Similar,Similar,Not similar,Similar,Similar,,,Highly similar,Highly similar,Highly similar
11/21/2020 18:05:36,19,Higher Secondary,Male,Village (Rural),Kerala,Malayalam,"Malayalam,English",Hindu,,5 Lakhs - 10 Lakhs,Not similar,Similar,,,,,,Not similar,Similar,Not similar
11/21/2020 18:09:40,19,Graduate,Male,City (Urban),Telengana,Telugu,"Tamil, telugu, English, hindi",Hindu,Student,Less than 5 Lakhs,Similar,Similar,Highly similar,Similar,Similar,Not similar,Not Similar,,,
11/21/2020 18:16:15,19,Higher Secondary,Male,Town (Sub-urban),Gujarat,Kannada,"English, Kannada, Hindi, Tamil",Hinduism,,Prefer not to say,Not similar,Similar,Highly similar,Not similar,Not Similar,,,,,
11/21/2020 18:16:51,19,Higher Secondary,Male,Town (Sub-urban),Tamil Nadu,Tamil,"Tamil, English, Hindi",,,Less than 5 Lakhs,Similar,Highly similar,Similar,Not similar,Not Similar,,,,,
11/21/2020 18:50:46,19,Graduate,Male,Town (Sub-urban),Odisha,Telugu,"telugu, english,hindi, odia",Khorda District,none,5 Lakhs - 10 Lakhs,Similar,Similar,Similar,Similar,Similar,Highly similar,Highly Similar,Not similar,Not similar,Not similar
11/21/2020 19:01:46,18,Graduate,Male,Town (Sub-urban),Tamil Nadu,Tamil,"English, Tamil",,,Prefer not to say,Similar,Similar,,,,,,,,
11/21/2020 19:02:15,19,Higher Secondary,Male,Town (Sub-urban),Kerala,Malayalam,"Malayalam, English, Hindi",Hindu,,Less than 5 Lakhs,Similar,Not similar,Similar,Not similar,Not Similar,,,Highly similar,Not similar,Not similar
11/21/2020 19:11:56,20,Higher Secondary,Male,City (Urban),BIhar,Hindi,"Hindi, English, Bhojouri, Sanskrit",Hindu,Student,Less than 5 Lakhs,Similar,Highly similar,Highly similar,Similar,Highly similar,,,,,
11/21/2020 20:02:36,19,Higher Secondary,Male,Town (Sub-urban),Andhra Pradesh,Telugu,Telugu English,Hindu,,Prefer not to say,Highly similar,Highly similar,,Highly similar,,Similar,Similar,,,
11/21/2020 21:09:24,20,Higher Secondary,Male,City (Urban),Maharashtra,Marathi,"Marathi, Hindi, English",Humanity,,Prefer not to say,Similar,Similar,Highly similar,Highly similar,Not Similar,,,,,
11/21/2020 21:13:45,19,Higher Secondary,Male,Town (Sub-urban),Madhya Pradesh,Hindi,"English, Hindi",Hindu,Student,Prefer not to say,Similar,Similar,Highly similar,Similar,Similar,,,,,Similar
11/21/2020 21:21:36,20,Higher Secondary,Male,Village (Rural),Telengana,Telugu ,"Telugu,English and Hindi(but not much)",Hindu,Student,Less than 5 Lakhs,Not similar,Similar,Similar,Not similar,Similar,Not similar,Not Similar,,,
11/21/2020 21:21:40,19,Higher Secondary,Male,City (Urban),Delhi,Hindi,Hindi English,Hindu,Stident,Less than 5 Lakhs,Similar,Similar,Highly similar,Similar,Similar,,,,,
11/21/2020 21:26:38,19,Higher Secondary,Male,Town (Sub-urban),Telengana,Telugu,Telugu Hindi English ,Hindu,,Prefer not to say,Similar,Similar,Similar,Similar,Not Similar,Not similar,Similar,Similar,Similar,Similar
11/21/2020 21:30:26,19,Higher Secondary,Male,Town (Sub-urban),Andhra Pradesh,Telugu,"Telugu,Hindi,English",Hindu,Student,Prefer not to say,Not similar,Similar,Similar,Similar,Similar,Highly similar,Similar,Not similar,Not similar,Not similar
11/21/2020 22:16:33,46,Post graduate/above,Female,City (Urban),Telengana,Telugu,"Hindi,english,telugu",Hindu,Home maker,Prefer not to say,Similar,Similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly Similar,Not similar,Not similar,Not similar
11/21/2020 22:17:02,23,Post graduate/above,Male,City (Urban),West Bengal,Marwadi,Hindi,Jain,Article assistant,Less than 5 Lakhs,Similar,Similar,Highly similar,Highly similar,Highly similar,Not similar,Not Similar,,,
11/21/2020 22:23:49,18,Higher Secondary,Male,Town (Sub-urban),Tamil Nadu,Tamil,Tamil english,Hindu,Gaming,Prefer not to say,Highly similar,Highly similar,,,,,,,,
11/21/2020 22:42:04,30,Post graduate/above,Male,City (Urban),West Bengal,Hindi,"Hindi, English, bengali ",Indian ,Fitness trainer ,10 Lakhs - 20 Lakhs,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly Similar,Similar,Similar,Highly similar
11/21/2020 22:42:14,30,Post graduate/above,Male,City (Urban),West Bengal,Hindi,"Hindi, English, bengali ",Indian ,Fitness trainer ,10 Lakhs - 20 Lakhs,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly Similar,Similar,Similar,Highly similar
11/21/2020 22:53:13,42,Post graduate/above,Female,City (Urban),West Bengal,Bengali,"English, Hindi, Oriya",,Teacher,Less than 5 Lakhs,Similar,Highly similar,Similar,Highly similar,Similar,Similar,Not Similar,Not similar,Not similar,Not similar
11/21/2020 23:22:42,18,Higher Secondary,Male,Town (Sub-urban),Andhra Pradesh,Telugu,"Telugu, English",Hindu,,Prefer not to say,Not similar,Similar,,,Highly similar,Not similar,Not Similar,,,
11/21/2020 23:58:29,48,Post graduate/above,Female,Town (Sub-urban),West Bengal,Bengali,"Bengali, English, Hindi",,Teaching,Less than 5 Lakhs,Similar,Highly similar,Similar,Similar,Similar,,,,,
11/22/2020 1:11:36,18,Higher Secondary,Male,City (Urban),Andhra Pradesh,Telugu,"English, Telugu, Hindi",Hindu,,Less than 5 Lakhs,Not similar,Not similar,Similar,Similar,Similar,Highly similar,Similar,,,
11/22/2020 1:56:32,19,Higher Secondary,Female,City (Urban),West Bengal,Hindi,"Hindi, English, Bengali",Hinduism,,Prefer not to say,Not similar,Highly similar,Not similar,Not similar,Not Similar,,,,,
11/22/2020 2:53:55,20,Higher Secondary,Male,Town (Sub-urban),Uttar Pradesh,hindi,"hindi, english, bhojpuri, gurjati",hindu,student,Prefer not to say,Similar,Highly similar,Highly similar,Similar,Highly similar,,,,,Highly similar
11/22/2020 5:31:36,19,Graduate,Female,City (Urban),West Bengal,Hindi,English Hindi Bengali Punjabi,,Student,Prefer not to say,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 7:52:52,21,Higher Secondary,Female,City (Urban),West Bengal,Punjabi,"Hindi, english, punjabi, bengali",,Customer service associate,Less than 5 Lakhs,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,,,,,
11/22/2020 8:03:28,19,Higher Secondary,Male,City (Urban),Andhra Pradesh,Telugu,"Telugu, English",Hindu,Student,Less than 5 Lakhs,Similar,Similar,,,,Highly similar,Similar,,,
11/22/2020 8:07:02,19,Higher Secondary,Male,Town (Sub-urban),Andhra Pradesh,Telugu ,"English , Hindi, German, Telugu ",Hindu ,Student,Prefer not to say,Similar,Similar,Similar,Similar,Similar,Similar,Similar,Similar,Similar,Similar
11/22/2020 8:07:48,19,Graduate,Female,Town (Sub-urban),Andhra Pradesh,Telugu,Hindi English,Hindu,,Prefer not to say,Not similar,Similar,Similar,Not similar,,,,,,
11/22/2020 8:11:56,17,Till Secondary(or below),Female,Town (Sub-urban),Andhra Pradesh,Telugu,"Telugu, English ",Hinduism,Studying,Prefer not to say,Similar,Similar,Not similar,Not similar,Not Similar,Similar,Similar,Not similar,Not similar,Not similar
11/22/2020 8:15:09,15,Higher Secondary,Male,City (Urban),Karnataka,Telugu,"Hindi, English,Telugu,kannada",,,Less than 5 Lakhs,,,,,,,,,,
11/22/2020 8:15:18,31,Post graduate/above,Male,City (Urban),Andhra Pradesh,Telugu,"Telugu, English, Hindi",Hindu,Engineer,Greater than 40 Lakhs,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly Similar,Highly similar,Highly similar,Highly similar
11/22/2020 8:19:33,50,Graduate,Female,Town (Sub-urban),Andhra Pradesh,Telugu,"Telugu, English,and hindi",Hindu,House wife,Prefer not to say,Similar,Similar,Similar,,Similar,Similar,Not Similar,,,
11/22/2020 8:23:11,19,Graduate,Female,City (Urban),Andhra Pradesh,Telugu,"Hindi, Telugu, English",,,10 Lakhs - 20 Lakhs,,,,,,,,,,
11/22/2020 8:23:22,59,Post graduate/above,Male,City (Urban),Maharashtra,Telugu,"Telugu, Hindi, Tamil, English",Hindu,Service in PSU,20 Lakhs - 40 Lakhs,Similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly Similar,Similar,Highly similar,Similar
11/22/2020 8:31:00,48,Graduate,Male,Town (Sub-urban),,Telugu,"Hindi, English, kannada",,IT specialist,Greater than 40 Lakhs,Not similar,Highly similar,Not similar,Not similar,Not Similar,Highly similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 8:41:33,18,Higher Secondary,Male,Town (Sub-urban),Andhra Pradesh,Telugu,Hindi and English,Hindu,,10 Lakhs - 20 Lakhs,Not similar,Similar,Similar,Similar,Similar,Highly similar,Highly Similar,Not similar,Not similar,Not similar
11/22/2020 8:47:12,22,Graduate,Female,Town (Sub-urban),,Telugu ,"English, Telugu ",,,Less than 5 Lakhs,Similar,Similar,Highly similar,Similar,Highly similar,Highly similar,Highly Similar,,,
11/22/2020 8:51:28,26,Graduate,Male,City (Urban),Maharashtra,Telugu,English Hindi Telugu Tamil,Hindu,Software Employee,5 Lakhs - 10 Lakhs,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly Similar,Not similar,Not similar,Not similar
11/22/2020 8:51:50,18,Higher Secondary,Female,City (Urban),Tamil Nadu,Tamil,"Tamil,english,telugu,hindi",Hindu,,Less than 5 Lakhs,Similar,Not similar,Not similar,Not similar,Not Similar,Similar,Not Similar,,,
11/22/2020 8:59:55,18,Higher Secondary,Male,City (Urban),Telengana,Telugu,"hindi,English ",hindu,student,Prefer not to say,Not similar,Highly similar,Similar,Highly similar,Highly similar,Similar,Highly Similar,,,
11/22/2020 9:02:15,19,Higher Secondary,Male,City (Urban),Andhra Pradesh,Telugu,"English, Hindi",Hindu,,Prefer not to say,Similar,Similar,Highly similar,Highly similar,Similar,Similar,Similar,,,
11/22/2020 9:08:38,50,Post graduate/above,Male,City (Urban),Maharashtra,Telugu,"Telugu, Hindi, English",Altruism,Govt service,10 Lakhs - 20 Lakhs,Similar,Similar,,Similar,Similar,Similar,Similar,Similar,Similar,Similar
11/22/2020 9:15:26,18,Higher Secondary,Male,Town (Sub-urban),Andhra Pradesh,Telugu,"Telugu, Hindi, English",Hindu,,Prefer not to say,Similar,Highly similar,Similar,Similar,Similar,Similar,Similar,,,
11/22/2020 9:27:04,47,Graduate,Female,City (Urban),Andhra Pradesh,Telugu,Hindi English tamil,Hindu,Self employed,5 Lakhs - 10 Lakhs,,,,,,,,,,
11/22/2020 9:32:37,26,Graduate,Female,City (Urban),Karnataka,Telugu,"Telugu, English",,,Prefer not to say,Not similar,Similar,,,,Highly similar,Not Similar,,,
11/22/2020 9:35:05,48,Post graduate/above,Female,City (Urban),Andhra Pradesh,Telugu,"English , Telugu and hindi",,Teacher,Prefer not to say,Similar,Similar,Similar,Similar,Similar,Similar,Highly Similar,Highly similar,Similar,Highly similar
11/22/2020 9:44:07,52,Post graduate/above,Male,Town (Sub-urban),Andhra Pradesh,Telugu,"Telugu,English & Hindi",Hindu,Consultant,5 Lakhs - 10 Lakhs,,,,,,Highly similar,Highly Similar,,,
11/22/2020 9:55:32,49,Post graduate/above,Male,City (Urban),,Telugu,Hindi,,Software Engineer ,Prefer not to say,Not similar,Not similar,Not similar,Similar,Similar,Similar,Similar,Not similar,Not similar,Not similar
11/22/2020 10:00:26,20,Higher Secondary,Male,City (Urban),Telengana,Telugu,"Telugu , english,hindi , ",Hindu,Student,Prefer not to say,Similar,Similar,Highly similar,Not similar,Not Similar,Not similar,Highly Similar,Not similar,Not similar,Not similar
11/22/2020 10:03:08,19,Graduate,Male,Town (Sub-urban),Maharashtra,Marathi,Marathi hindi English,,,Prefer not to say,Similar,Not similar,Highly similar,Highly similar,Highly similar,Highly similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 10:05:56,18,Graduate,Male,City (Urban),Telengana,Telugu,3,,,Less than 5 Lakhs,Similar,Similar,Similar,Similar,Similar,Similar,Similar,Similar,Similar,Similar
11/22/2020 10:11:29,20,Graduate,Male,City (Urban),West Bengal,Hindi,"Hindi, English,Marwari,Bengali",Jainism,,Prefer not to say,Similar,Similar,Highly similar,Highly similar,Highly similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 10:24:22,19,Till Secondary(or below),Male,Village (Rural),Andhra Pradesh,Telugu,"English, Hindi",,,Prefer not to say,Not similar,Similar,Similar,Similar,Similar,Highly similar,Highly Similar,Not similar,Not similar,Not similar
11/22/2020 10:42:19,19,Graduate,Male,City (Urban),West Bengal,Hindi,English bengali,Hinduism,,5 Lakhs - 10 Lakhs,Similar,Similar,Highly similar,Similar,Similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 11:09:45,19,Higher Secondary,Male,Town (Sub-urban),Telengana,Telugu,Telugu hindi English,Hindu,Student,Less than 5 Lakhs,Similar,Highly similar,Similar,Not similar,Similar,Similar,Highly Similar,,,
11/22/2020 11:41:55,48,Post graduate/above,Male,City (Urban),Maharashtra,Hindi,Hindi English ,Hindu ,Service,Greater than 40 Lakhs,Similar,Highly similar,Highly similar,Highly similar,Highly similar,,,,,
11/22/2020 11:44:14,52,Post graduate/above,Male,City (Urban),Maharashtra,Hindi,Hindi English,Hindu,Service,20 Lakhs - 40 Lakhs,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,,,,,
11/22/2020 11:45:56,24,Post graduate/above,Male,Village (Rural),Telengana,Telugu,"Telugu, English and Hindi",Hindu,,5 Lakhs - 10 Lakhs,,,,,,Similar,Similar,,,
11/22/2020 11:49:19,18,Higher Secondary,Male,City (Urban),Telengana,Telugu,"English, Hindi",,Student,Less than 5 Lakhs,Similar,Highly similar,,,,Not similar,Not Similar,,,
11/22/2020 11:50:49,60,Graduate,Male,City (Urban),Andhra Pradesh,Telugu,"Telugu,English, Hindi,Tamil and Marathi ",Hindu,Retired from services,5 Lakhs - 10 Lakhs,Highly similar,Highly similar,Not similar,Similar,Not Similar,Highly similar,Highly Similar,Similar,Similar,Similar
11/22/2020 11:51:46,55,Post graduate/above,Female,City (Urban),Maharashtra,Marathi,English Hindi,,Service,Prefer not to say,Not similar,Similar,Highly similar,,Highly similar,,,,,
11/22/2020 11:52:08,55,Post graduate/above,Male,City (Urban),Maharashtra,Odia,Odia Hindi English Sanskrit,Hindu,Engineer,20 Lakhs - 40 Lakhs,Similar,Similar,Not similar,Similar,Similar,,,,,
11/22/2020 11:54:59,51,Post graduate/above,Male,City (Urban),Maharashtra,Hindi,Hindi English,Sikh,Service,20 Lakhs - 40 Lakhs,Highly similar,Highly similar,Similar,Highly similar,Highly similar,,,,,
11/22/2020 11:56:43,48,Graduate,Male,City (Urban),Andhra Pradesh,Telugu,Hindi & English,,Business,10 Lakhs - 20 Lakhs,Not similar,Similar,Highly similar,Highly similar,Highly similar,Similar,Similar,Highly similar,Not similar,
11/22/2020 11:58:36,48,Post graduate/above,Male,City (Urban),Maharashtra,Telugu,"Telugu, Hindi, English",Hindu,Service,Greater than 40 Lakhs,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly Similar,Highly similar,Highly similar,Highly similar
11/22/2020 12:04:13,58,Post graduate/above,Male,City (Urban),Maharashtra,Tamil,"Tamil, english, hindi",,Service,Greater than 40 Lakhs,Similar,Similar,Not similar,Not similar,Not Similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 12:11:06,55,Graduate,Male,City (Urban),Maharashtra,Telugu,"English, Hindi",Hindu,Service,20 Lakhs - 40 Lakhs,Highly similar,Similar,Similar,Similar,Similar,Not similar,Similar,,,
11/22/2020 12:13:36,69,Graduate,Male,City (Urban),Maharashtra,Bengali,Hindi English Bengali ,Hindu ,Service ,20 Lakhs - 40 Lakhs,Similar,Similar,Similar,Similar,Similar,Similar,Similar,Similar,Similar,Similar
11/22/2020 12:17:07,56,Post graduate/above,Male,City (Urban),Maharashtra,Hindi,Hindi and English,Hindu,Govt. Service,Greater than 40 Lakhs,Not similar,Highly similar,Highly similar,Highly similar,Similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 12:17:53,26,Post graduate/above,Male,City (Urban),Andhra Pradesh,Telugu,"Telugu, English, Hindi and Kannada",Hindhu,Chartered accountant,10 Lakhs - 20 Lakhs,Similar,Not similar,Highly similar,Highly similar,Similar,Highly similar,Similar,Not similar,Not similar,Not similar
11/22/2020 12:20:39,24,Graduate,Male,Town (Sub-urban),Telengana,Telugu,"Telugu, English",,,5 Lakhs - 10 Lakhs,Similar,Highly similar,,,,Highly similar,Highly Similar,,,
11/22/2020 12:25:07,20,Higher Secondary,Male,City (Urban),Maharashtra,Bengali ,"Bengali, Hindi, English, Marathi",Hindu,Student,Less than 5 Lakhs,Highly similar,Highly similar,Highly similar,Similar,Highly similar,,,,,
11/22/2020 12:25:46,58,Post graduate/above,Male,City (Urban),Maharashtra,Kannada ,"Hindi, English, Kannada ",Hindu,Service ,Greater than 40 Lakhs,Similar,Similar,Similar,Similar,Not Similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 12:28:39,51,Post graduate/above,Female,City (Urban),Telengana,Telugu,"Kannada, Tamil and Hindi",Hindu,Service,10 Lakhs - 20 Lakhs,Similar,Similar,Not similar,Similar,Highly similar,Highly similar,Similar,Similar,Highly similar,Not similar
11/22/2020 12:35:46,53,Post graduate/above,Male,City (Urban),Maharashtra,Hindi,"Hindi, English, Gujarati, punjabi etc",Jain,Service,Greater than 40 Lakhs,Similar,Not similar,Highly similar,Similar,Similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 12:37:08,52,Post graduate/above,Male,Town (Sub-urban),Telengana,Telugu ,"English  telugu, hindi",Hindu,Service,5 Lakhs - 10 Lakhs,Not similar,Similar,Similar,Highly similar,Highly similar,Highly similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 12:40:22,52,Post graduate/above,Male,City (Urban),Maharashtra,Telugu,"Telugu, English & Hindi",Hindu,Bank executive,20 Lakhs - 40 Lakhs,Not similar,Not similar,Similar,Similar,Similar,Highly similar,Highly Similar,Not similar,Not similar,Not similar
11/22/2020 12:40:50,53,Post graduate/above,Male,City (Urban),Telengana,Telugu,"English, hindi",Hindu,IT,Greater than 40 Lakhs,Similar,Similar,Highly similar,Similar,Not Similar,Not similar,Not Similar,Not similar,Similar,Not similar
11/22/2020 12:42:43,63,Post graduate/above,Male,City (Urban),Andhra Pradesh,Telugu ,English & Hindi also,Hindu ,Retired ,5 Lakhs - 10 Lakhs,Not similar,Not similar,Not similar,Similar,Similar,Similar,Similar,Not similar,Similar,Not similar
